kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,1,7.599999985e-08,5.730752000e-03,4.327500000e-05,5.774103000e-03,5.548118895e-03,5.504767895e-03,2.259841053e-04,290.298886,292.585040,292.585040,1.197120026e-04,9.724800289e-05,9.024099793e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,2,8.199999990e-08,5.726955000e-03,4.453700000e-05,5.771574000e-03,5.553546822e-03,5.508927822e-03,2.180271779e-04,290.015154,292.364102,292.364102,1.209599972e-04,8.726400137e-05,9.803179340e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,3,7.499999999e-08,5.738171000e-03,4.411300000e-05,5.782359000e-03,5.557372071e-03,5.513184071e-03,2.249869294e-04,289.815531,292.138393,292.138393,1.215040013e-04,9.440000355e-05,9.082924541e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,4,7.700000015e-08,5.732493000e-03,4.348600000e-05,5.776056000e-03,5.556042782e-03,5.512479782e-03,2.200132179e-04,289.884869,292.175718,292.175718,1.198719963e-04,9.049600363e-05,9.645217925e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,5,7.199999996e-08,5.685946000e-03,4.429200000e-05,5.730310000e-03,5.512971903e-03,5.468607903e-03,2.173380975e-04,292.149636,294.519696,294.519696,1.198400036e-04,8.793599904e-05,9.562094887e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,6,7.600000007e-08,5.622640000e-03,4.360600000e-05,5.666322000e-03,5.447393796e-03,5.403711796e-03,2.189282042e-04,295.666661,298.056743,298.056743,1.208000034e-04,8.844800293e-05,9.680197849e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,7,8.099999982e-08,5.610907000e-03,4.347400000e-05,5.654462000e-03,5.439554908e-03,5.395999908e-03,2.149070916e-04,296.092743,298.482721,298.482721,1.199039966e-04,8.607999980e-05,8.923095162e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,8,8.399999984e-08,5.617863000e-03,4.404000000e-05,5.661987000e-03,5.442267768e-03,5.398143768e-03,2.197192317e-04,295.945147,298.364179,298.364179,1.200959980e-04,9.020800143e-05,9.415232206e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,9,8.400000007e-08,5.658078000e-03,4.466800000e-05,5.702830000e-03,5.482159970e-03,5.437407970e-03,2.206700296e-04,293.791634,296.209654,296.209654,1.200959980e-04,9.196799994e-05,8.606031588e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,10,8.299999998e-08,5.643688000e-03,4.338100000e-05,5.687152000e-03,5.473895843e-03,5.430431843e-03,2.132561572e-04,294.235181,296.590176,296.590176,1.202879995e-04,8.307199925e-05,9.896158434e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,11,8.499999993e-08,5.609707000e-03,4.378500000e-05,5.653577000e-03,5.440638093e-03,5.396768093e-03,2.129389069e-04,296.033794,298.440235,298.440235,1.203199998e-04,8.393599838e-05,8.682908756e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,12,8.100000004e-08,5.622902000e-03,4.355100000e-05,5.666534000e-03,5.451280087e-03,5.407648087e-03,2.152539135e-04,295.455876,297.839784,297.839784,1.203520000e-04,8.604799956e-05,8.853913893e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,13,7.999999996e-08,5.624946000e-03,4.369000000e-05,5.668716000e-03,5.453881904e-03,5.410111904e-03,2.148340959e-04,295.314927,297.704144,297.704144,1.201279983e-04,8.575999737e-05,8.946100195e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,14,1.009999999e-07,5.621807000e-03,4.481200000e-05,5.666720000e-03,5.447793192e-03,5.402880192e-03,2.189268082e-04,295.644985,298.102619,298.102619,1.200319976e-04,8.934400231e-05,9.550808329e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,15,8.799999995e-08,5.949952000e-03,4.523100000e-05,5.995271000e-03,5.442790905e-03,5.397471905e-03,5.524800952e-04,295.916702,298.401319,298.401319,1.205120012e-04,4.228799939e-04,9.088100113e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,16,1.029999999e-07,5.625664000e-03,4.472100000e-05,5.670488000e-03,5.446520205e-03,5.401696205e-03,2.239677949e-04,295.714084,298.167960,298.167960,1.200959980e-04,9.382399917e-05,1.004779765e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,17,1.020000000e-07,5.616800000e-03,4.393000000e-05,5.660832000e-03,5.446495913e-03,5.402463913e-03,2.143360870e-04,295.715403,298.125589,298.125589,1.193599999e-04,8.502399921e-05,9.952087927e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,18,8.100000004e-08,5.663130000e-03,4.385300000e-05,5.707064000e-03,5.490686071e-03,5.446752071e-03,2.163779286e-04,293.335426,295.701496,295.701496,1.199039966e-04,8.720000088e-05,9.273931150e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,19,7.800000001e-08,5.625871000e-03,4.350200000e-05,5.669451000e-03,5.451516096e-03,5.407936096e-03,2.179349038e-04,295.443085,297.823922,297.823922,1.228479967e-04,8.553600311e-05,9.550904044e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,20,7.599999985e-08,5.630228000e-03,4.404400000e-05,5.674348000e-03,5.459416078e-03,5.415296078e-03,2.149319223e-04,295.015568,297.419146,297.419146,1.202879995e-04,8.540800214e-05,9.235920623e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,6,1,1,1,1,1.390000000e-07,1.063366500e-02,9.007700000e-05,1.072388100e-02,1.030266412e-02,1.021244812e-02,4.212168799e-04,312.659467,315.421477,315.421477,2.301120013e-04,1.808959991e-04,1.020887951e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,6,1,1,1,2,1.940000001e-07,1.063923300e-02,8.859100000e-05,1.072801800e-02,1.030523283e-02,1.021644783e-02,4.227851698e-04,312.581533,315.297991,315.297991,2.309439927e-04,1.832640022e-04,8.577174862e-06,row,0,-1.000000000e+00,-1.000000
