kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,20,1.213500000e-07,3.664233241e-08,5.691641250e-03,1.363611474e-05,4.481980000e-05,1.387756713e-06,5.736582400e-03,5.729992000e-03,5.716793000e-03,1.413343219e-05,2.463737328e-01,5.519825994e-03,5.513901639e-03,5.504501067e-03,1.241172360e-05,2.248571534e-01,5.474884844e-03,5.469392061e-03,5.460864067e-03,1.195150453e-05,2.182969116e-01,2.167564062e-04,6.566271983e-06,6.394537010e-01,291.786868,294.182030,294.182030,-1,-1,-1.000e+00,1.667276870e-01,2.535270032e-04,4.724242930e-01,4.545667,1.199423999e-04,4.251908605e-06,3.278374,8.713439927e-05,3.437917171e-06,4.512753,9.679607049e-06,5.923404501e-07,2.347199916e-05,8.943762990e-01,0.000000000e+00,3.022300007e-04,0.000000000e+00,1.534155702e+00,1.825069994e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,6,1,1,1,20,1.316000000e-07,3.110322372e-08,9.699794400e-03,3.219056805e-05,9.225310000e-05,4.737736400e-06,9.792179100e-03,9.778273000e-03,9.752285000e-03,3.142031578e-05,3.208715390e-01,9.382061557e-03,9.371296427e-03,9.351444096e-03,2.553645902e-05,2.721838784e-01,9.289676857e-03,9.271104336e-03,9.259200096e-03,2.631532928e-05,2.832749694e-01,4.101175430e-04,7.720366045e-06,6.094843910e-01,343.338770,346.753232,346.753232,-1,-1,-1.000e+00,1.361749230e-01,2.628189977e-04,4.729979460e-01,4.540154,2.315408014e-04,1.833128921e-06,3.396516,1.687952012e-04,7.051077186e-06,4.659090,9.781540447e-06,4.964485688e-07,2.340599895e-05,8.850261850e-01,0.000000000e+00,5.739410044e-04,0.000000000e+00,1.495107923e+00,1.874650043e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,8,1,1,1,20,2.011000000e-07,2.010996090e-08,2.483970435e-02,2.920952302e-04,1.224669000e-04,3.055319914e-06,2.496237235e-02,2.484425700e-02,2.478667100e-02,2.922581285e-04,1.170794684e+00,2.441456711e-02,2.430190833e-02,2.424545876e-02,2.914067173e-04,1.193577244e+00,2.429189911e-02,2.418100834e-02,2.412566376e-02,2.912721508e-04,1.199050554e+00,5.478052411e-04,9.204664185e-06,6.131409780e-01,175.918224,176.806567,176.806567,-1,-1,-1.000e+00,1.357789900e-01,2.562459995e-04,4.770607100e-01,4.501489,3.104288012e-04,6.052262387e-06,3.377831,2.270319991e-04,6.136854521e-06,4.618626,1.034444085e-05,5.957667453e-07,2.717799362e-05,8.876119550e-01,0.000000000e+00,6.767419982e-04,0.000000000e+00,1.501456853e+00,1.917819973e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,20,1,1,1,20,2.449500001e-07,2.833897214e-07,7.411202380e-02,2.917042730e-04,3.972408000e-04,2.149396969e-04,7.450950955e-02,7.439106550e-02,7.405288300e-02,4.690482331e-04,6.295145894e-01,7.329286806e-02,7.327861564e-02,7.296650558e-02,3.017373194e-04,4.116871497e-01,7.289538231e-02,7.287569809e-02,7.264466858e-02,1.880087197e-04,2.579158155e-01,1.216641491e-03,2.214998114e-04,6.112809570e-01,146.500178,147.299018,147.299018,-1,-1,-1.000e+00,1.362523020e-01,3.075080022e-04,4.746735660e-01,4.524127,6.271200031e-04,1.186258121e-04,4.180125,5.775215939e-04,1.997833131e-04,4.539120,1.199989407e-05,1.317790803e-06,2.606600174e-05,8.920545810e-01,0.000000000e+00,1.563559999e-03,0.000000000e+00,1.504925164e+00,1.948470017e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,32,1,1,1,20,5.953999999e-07,6.954384759e-07,1.948845534e-01,3.822511061e-04,6.775689500e-04,3.482851586e-04,1.955627177e-01,1.951986315e-01,1.950618850e-01,6.687449194e-04,3.419593096e-01,1.935372372e-01,1.933523271e-01,1.932199081e-01,3.840947196e-04,1.984603713e-01,1.928590729e-01,1.928010254e-01,1.926850891e-01,2.104626473e-04,1.091276880e-01,2.025480524e-03,3.219169171e-04,6.127761670e-01,88.767771,89.079912,89.079912,-1,-1,-1.000e+00,1.349001910e-01,3.112699997e-04,4.775177130e-01,4.497181,1.043428800e-03,1.650791959e-04,4.019732,9.682784051e-04,3.168278009e-04,4.331713,1.377331944e-05,1.918380104e-06,2.595499973e-05,8.946847250e-01,0.000000000e+00,1.899274001e-03,0.000000000e+00,1.509386121e+00,2.036099977e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk128),double,local,local,16384,16384,3,1,1,1,20,1.057500000e-07,1.093942649e-08,5.576825450e-03,6.141489958e-05,4.467830000e-05,8.556791147e-07,5.621609500e-03,5.590030000e-03,5.577889000e-03,6.146722543e-05,1.093409733e+00,5.402904086e-03,5.371487535e-03,5.359955040e-03,5.878700398e-05,1.088063068e+00,5.358120036e-03,5.326992035e-03,5.314496040e-03,5.874929076e-05,1.096453427e+00,2.187054139e-04,4.980012013e-06,6.439984220e-01,298.101301,300.592881,300.592881,-1,-1,-1.000e+00,1.676693440e-01,2.543290029e-04,4.760304870e-01,4.511231,1.200320005e-04,1.186796623e-06,3.275926,8.927200027e-05,4.513831101e-06,4.404696,9.401413065e-06,4.912372005e-07,2.655499702e-05,8.937472540e-01,0.000000000e+00,2.898210005e-04,0.000000000e+00,1.538062052e+00,1.780720049e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk128),double,local,local,16384,16384,6,1,1,1,20,1.359500000e-07,4.357507137e-08,9.772818250e-03,3.310611065e-05,9.225525000e-05,6.063081142e-06,9.865209450e-03,9.847403500e-03,9.830469000e-03,3.378827062e-05,3.424992727e-01,9.452082391e-03,9.436844845e-03,9.423094837e-03,2.635277892e-05,2.788039485e-01,9.359691191e-03,9.344975948e-03,9.333536148e-03,2.531024417e-05,2.704175133e-01,4.131270593e-04,1.078198316e-05,6.141965310e-01,340.795323,344.159375,344.159375,-1,-1,-1.000e+00,1.364450420e-01,2.638779988e-04,4.774385320e-01,4.497927,2.324223988e-04,4.670310715e-06,3.383633,1.708687991e-04,8.735601615e-06,4.602549,9.835861414e-06,9.472768685e-07,5.865700223e-05,8.966590710e-01,0.000000000e+00,5.516410019e-04,0.000000000e+00,1.511465900e+00,1.857180032e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk128),double,local,local,16384,16384,8,1,1,1,20,2.119000000e-07,5.027702201e-08,2.485709440e-02,2.796459734e-04,1.229331000e-04,4.685495030e-06,2.498023940e-02,2.490617750e-02,2.489181900e-02,2.797098308e-04,1.119724380e+00,2.437904271e-02,2.437031667e-02,2.435745865e-02,2.696720881e-05,1.106163566e-01,2.425589771e-02,2.424616051e-02,2.423446465e-02,2.715475506e-05,1.119511443e-01,6.011966873e-04,2.831910368e-04,6.108053810e-01,176.174567,177.068989,177.068989,-1,-1,-1.000e+00,1.351129640e-01,2.546600008e-04,4.753929730e-01,4.517281,3.113120005e-04,5.072279399e-06,3.368248,2.795535982e-04,2.840314452e-04,3.750894,1.033108867e-05,6.131645417e-07,2.512399806e-05,8.905931220e-01,0.000000000e+00,6.446150001e-04,0.000000000e+00,1.502068242e+00,1.853630019e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk128),double,local,local,16384,16384,20,1,1,1,20,2.469500000e-07,2.837201131e-07,7.360885335e-02,2.863641949e-04,3.899557500e-04,2.092394834e-04,7.399905605e-02,7.414347750e-02,7.355632200e-02,3.371049185e-04,4.555529982e-01,7.287071608e-02,7.267479398e-02,7.250238833e-02,3.306423487e-04,4.537383004e-01,7.248051338e-02,7.234494400e-02,7.220435333e-02,2.693114827e-04,3.715639834e-01,1.128339968e-03,1.548405438e-04,6.088464350e-01,147.348878,148.142138,148.142138,-1,-1,-1.000e+00,1.347981010e-01,3.178769985e-04,4.736791370e-01,4.533625,6.265663952e-04,1.137914707e-04,4.183818,4.895839989e-04,1.151214399e-04,5.354423,1.218957396e-05,1.343461941e-06,2.595000115e-05,9.338282440e-01,0.000000000e+00,1.774074000e-03,0.000000000e+00,1.544474703e+00,1.885789970e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk128),double,local,local,16384,16384,32,1,1,1,20,2.817500000e-07,2.319064865e-07,1.945763486e-01,2.599186893e-04,7.062554500e-04,2.849245691e-04,1.952828858e-01,1.951030890e-01,1.949356550e-01,5.271016088e-04,2.699169498e-01,1.933141338e-01,1.932310611e-01,1.931310448e-01,2.767549371e-04,1.431633227e-01,1.926075966e-01,1.925939789e-01,1.925035553e-01,4.521893145e-05,2.347723156e-02,1.968752012e-03,2.750561399e-04,6.310169360e-01,88.870218,89.196218,89.196218,-1,-1,-1.000e+00,1.539532020e-01,3.025260012e-04,4.767118580e-01,4.504783,1.034371206e-03,1.341571090e-04,4.054931,9.213247985e-04,2.576503639e-04,4.552471,1.305600724e-05,8.197256073e-07,2.545200550e-05,9.133852700e-01,0.000000000e+00,1.888422004e-03,0.000000000e+00,1.546316080e+00,1.979989975e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk192),double,local,local,16384,16384,3,1,1,1,20,1.871500000e-07,1.964494041e-08,5.674332450e-03,6.150362159e-06,4.546275000e-05,4.272663669e-06,5.719982350e-03,5.720790500e-03,5.698160000e-03,7.063286258e-06,1.234844065e-01,5.504017963e-03,5.504407116e-03,5.482896103e-03,6.667908131e-06,1.211461913e-01,5.458368063e-03,5.459424019e-03,5.438208103e-03,5.288037016e-06,9.687945105e-02,2.159643870e-04,2.937932760e-06,6.451693790e-01,292.624905,295.072212,295.072212,-1,-1,-1.000e+00,1.757417960e-01,2.544140007e-04,4.691226330e-01,4.577659,1.190016001e-04,1.122504628e-06,3.304292,8.743040077e-05,2.458857741e-06,4.497475,9.532386107e-06,5.369908544e-07,3.012299567e-05,8.913828440e-01,0.000000000e+00,2.926329980e-04,0.000000000e+00,1.536874979e+00,1.862659992e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk192),double,local,local,16384,16384,6,1,1,1,20,9.549999999e-08,1.740689516e-08,1.001376830e-02,5.128804178e-05,9.115610000e-05,2.634923926e-06,1.010501990e-02,1.010491850e-02,1.001358400e-02,5.190014436e-05,5.136075423e-01,9.682894743e-03,9.677634301e-03,9.597599251e-03,5.353518519e-05,5.528840973e-01,9.591643143e-03,9.586751938e-03,9.507488251e-03,5.313986769e-05,5.540225684e-01,4.221251573e-04,7.986108279e-06,6.086182710e-01,332.671743,335.836668,335.836668,-1,-1,-1.000e+00,1.358338710e-01,2.586170012e-04,4.724807630e-01,4.545124,2.302063994e-04,2.017389078e-06,3.416204,1.823664010e-04,7.845003859e-06,4.312373,9.552356932e-06,6.521559604e-07,2.352699812e-05,8.859590900e-01,0.000000000e+00,5.378770002e-04,0.000000000e+00,1.495138765e+00,1.812760020e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk192),double,local,local,16384,16384,8,1,1,1,20,1.596500000e-07,3.325068267e-08,2.474910675e-02,2.934542292e-05,1.259604000e-04,1.039949144e-05,2.487522680e-02,2.485809950e-02,2.484783300e-02,3.122927246e-05,1.255436693e-01,2.432592798e-02,2.431347623e-02,2.430642565e-02,2.558794122e-05,1.051879346e-01,2.419980793e-02,2.418953609e-02,2.418128014e-02,2.401425224e-05,9.923323487e-02,5.492988200e-04,8.337820150e-06,6.158816600e-01,176.559238,177.479396,177.479396,-1,-1,-1.000e+00,1.357088950e-01,2.715640003e-04,4.798562060e-01,4.475265,3.084527984e-04,5.398904019e-06,3.399470,2.305231996e-04,5.182660764e-06,4.548679,1.032282199e-05,5.963238378e-07,5.892400077e-05,8.851858450e-01,0.000000000e+00,6.420409991e-04,0.000000000e+00,1.501768470e+00,1.907650003e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk192),double,local,local,16384,16384,20,1,1,1,20,4.191500000e-07,6.227786018e-07,7.276669245e-02,3.792795697e-04,3.954709000e-04,2.195290086e-04,7.316258250e-02,7.287542050e-02,7.266948500e-02,5.596666396e-04,7.649629367e-01,7.190296555e-02,7.176177082e-02,7.157829326e-02,3.242713907e-04,4.509847239e-01,7.150707550e-02,7.144900894e-02,7.126802826e-02,2.135834954e-04,2.986886178e-01,1.259616950e-03,3.190600751e-04,6.166979750e-01,149.332064,150.158822,150.158822,-1,-1,-1.000e+00,1.422181950e-01,3.181600041e-04,4.741126050e-01,4.529480,6.877472043e-04,2.152503140e-04,3.811633,5.599728003e-04,2.023649682e-04,4.681370,1.189694489e-05,1.021920584e-06,3.258400102e-05,8.958860110e-01,0.000000000e+00,1.614098001e-03,0.000000000e+00,1.514230668e+00,2.001840039e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
